data	Mhyp	method	min_score_minus_CI	min_score	max_score	max_score_plus_CI
59	divAB_24-1	AC_B_O	RBF:Mref=comb-ABC	242.151989330518	251.75818	292.54277	295.95068751423
60	divAB_24-1	AC_B_O	RBF:Mref=clade-ABC	164.323121057927	212.32	534.359999999999	582.848956087133
61	divAB_18-2	A_BC_O	HM	-41.6681010014483	-30	40	55.1492542739932
62	divAB_18-2	A_BC_O	RBF:Mref=comb-root	2307.3246377726	2361.72	2475.29	2533.56853593022
63	divAB_18-2	A_BC_O	RBF:Mref=clade-root	-1096.04627118659	-774.5	-578	-211.022203600817
64	divAB_18-2	A_BC_O	RBF:Mref=comb-ABC	1240.39591830283	1253.19693	1309.05147	1316.03561822797
65	divAB_18-2	A_BC_O	RBF:Mref=clade-ABC	-332.996231686542	-241.6	118.799999999999	275.952064154435
66	divAB_18-2	AC_B_O	HM	-31.11256801855	-20	20	26.4291509374256
67	divAB_18-2	AC_B_O	RBF:Mref=comb-root	2251.73908838687	2281.03	2589.11	2679.25937220508
68	divAB_18-2	AC_B_O	RBF:Mref=clade-root	-871.856903210077	-570.800000000003	-231.900000000001	128.164005667047
69	divAB_18-2	AC_B_O	RBF:Mref=comb-ABC	1240.59526011087	1253.39732	1310.5026	1317.52821836263
70	divAB_18-2	AC_B_O	RBF:Mref=clade-ABC	-29.8541082826888	94	441.5	592.588625779706
71	divAB_18-1	A_BC_O	HM	-33.3304818267626	-10	30	36.2330183997242
72	divAB_18-1	A_BC_O	RBF:Mref=comb-root	3153.43155849324	3211.19	3362.95	3398.72370303407
73	divAB_18-1	A_BC_O	RBF:Mref=clade-root	-807.525399518318	-563.099999999999	94.9000000000015	304.84972350835
74	divAB_18-1	A_BC_O	RBF:Mref=comb-ABC	1584.07439789547	1599.76425	1610.08824	1622.85901717762
75	divAB_18-1	A_BC_O	RBF:Mref=clade-ABC	169.595481958061	265.9	861.809999999999	1054.69668775735
76	divAB_18-1	AC_B_O	HM	-33.2321834772369	-10	40	46.2048593140618
77	divAB_18-1	AC_B_O	RBF:Mref=comb-root	3087.72443753076	3139.73	3362.91	3396.03403241455
78	divAB_18-1	AC_B_O	RBF:Mref=clade-root	-973.559968322518	-721.900000000001	-352.5	-107.320118655152
79	divAB_18-1	AC_B_O	RBF:Mref=comb-ABC	1584.39648403327	1600.08641	1610.27785	1623.0478493519
80	divAB_18-1	AC_B_O	RBF:Mref=clade-ABC	128.172513780031	232.300000000001	752.75	959.070056245145
