=== Running McRef with ABC_COMB reference model ===

simulation                                                              rbf_mean    rbf_bootstrap      hm_mean    hm_bootstrap
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/A_BC_O/seed_54321   -12020.5           89.0099  1.45598e+06         4.60684
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AC_B_O/seed_12345   -11635.6          112.201   1.456e+06          21.1558
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AC_B_O/seed_54321   -11835.1           84.1848  1.456e+06          13.5524
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AB_C_O/seed_12345   -12349.1           80.3298  1.45669e+06        10.322
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AB_C_O/seed_54321   -12154.4          102.713   1.45669e+06        12.1223
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/A_BC_O/seed_12345   -12227.6           72.1608  1.45669e+06         5.05707
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/A_BC_O/seed_54321   -12024.4           40.9105  1.45671e+06        28.2469
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AC_B_O/seed_12345   -12177            149.787   1.45667e+06         8.23071
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AC_B_O/seed_54321   -12365.4           41.0883  1.45668e+06         9.72695
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AB_C_O/seed_12345   -10683.8          120.289   1.45634e+06         7.26207
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AB_C_O/seed_54321   -10458.1          145.433   1.45636e+06         9.6897
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/A_BC_O/seed_12345   -10789.8          124.883   1.45638e+06        31.5476
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/A_BC_O/seed_54321   -10972.3           62.7235  1.45636e+06        18.5639
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AC_B_O/seed_12345   -11032             31.846   1.45635e+06         5.27898
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AC_B_O/seed_54321   -10833.2           37.3289  1.45635e+06         8.51764

=== Running McRef with ROOT_CLADE reference model ===

simulation                                                             rbf_mean    rbf_bootstrap      hm_mean    hm_bootstrap
-------------------------------------------------------------------  ----------  ---------------  -----------  --------------
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AB_C_O/seed_12345    -21884.5          82.8285  1.45392e+06        22.514
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AB_C_O/seed_54321    -21838.5         232.192   1.45388e+06         2.34472
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/A_BC_O/seed_12345    -22401.6          76.3587  1.45391e+06         5.64914
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/A_BC_O/seed_54321    -21789.6         107.69    1.45391e+06         4.71883
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AC_B_O/seed_12345    -22237           175.706   1.45391e+06         5.36275
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AC_B_O/seed_54321    -22560.4          97.0547  1.45392e+06         5.43773
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AB_C_O/seed_12345    -21176.1         286.267   1.45394e+06         6.24426
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AB_C_O/seed_54321    -21227.5         288.839   1.45397e+06        11.2153
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/A_BC_O/seed_12345    -21805.5         226.373   1.45394e+06         4.18417
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/A_BC_O/seed_54321    -21950.6         146.435   1.45398e+06        14.0548
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AC_B_O/seed_12345    -21746.9          93.2012  1.45395e+06         2.18441
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AC_B_O/seed_54321    -21459.4         214.984   1.45396e+06         2.10475
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AB_C_O/seed_12345    -23543.8         139.15    1.45472e+06         4.53525
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AB_C_O/seed_54321    -23464.7          92.0446  1.45475e+06        25.6017
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/A_BC_O/seed_12345    -22717.5         208.209   1.45474e+06         7.70493
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/A_BC_O/seed_54321    -22380.2         256.552   1.45474e+06         9.07116
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AC_B_O/seed_12345    -22776           103.374   1.45471e+06         2.65472
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AC_B_O/seed_54321    -22880.5          43.0375  1.45473e+06        11.8201
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AB_C_O/seed_12345    -24466.9         137.711   1.45599e+06        13.0589
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AB_C_O/seed_54321    -24707.9         134.069   1.456e+06          12.5374
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/A_BC_O/seed_12345    -23787           490.873   1.45602e+06        27.7208
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/A_BC_O/seed_54321    -23993.4         375.101   1.45598e+06         4.72712
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AC_B_O/seed_12345    -23933.8         355.231   1.456e+06          20.2775
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AC_B_O/seed_54321    -24300.2         280.71    1.456e+06          12.7348
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AB_C_O/seed_12345    -21078.4         105.955   1.45669e+06        11.3776
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AB_C_O/seed_54321    -21264.8         137.064   1.45669e+06        11.9246
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/A_BC_O/seed_12345    -21209.4          94.3106  1.45669e+06         5.71696
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/A_BC_O/seed_54321    -20668.9         245.787   1.45671e+06        28.6238
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AC_B_O/seed_12345    -21566.5          94.9264  1.45667e+06         8.18154
/home/ron/Desktop/data_sets/M4.divAB_30-1/results/AC_B_O/seed_54321    -21529.5          75.4085  1.45668e+06         9.29769
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AB_C_O/seed_12345    -23430           163.22    1.45634e+06         7.45332
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AB_C_O/seed_54321    -23139.5         252.167   1.45636e+06         9.66549
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/A_BC_O/seed_12345    -23304.7          86.1946  1.45638e+06        31.7564
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/A_BC_O/seed_54321    -22897.6         288.961   1.45636e+06        18.422
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AC_B_O/seed_12345    -23596.5          87.5712  1.45635e+06         4.79869
/home/ron/Desktop/data_sets/M4.divAB_30-2/results/AC_B_O/seed_54321    -22679.9         482.867   1.45635e+06         8.34173
